"fab_id","draft_duration","start_time","end_time","drafter","new_start_time","new_end_time","session_start_time","state","active_session","session_start_temp","intermediary","new_duration","session_duration","old_duration","test","display_end_time"
"13326","","1/9/2025 9:47:51 AM","","6","","","","","0","","","","0","","",""
"13338","","1/9/2025 3:01:07 PM","","6","","","","","0","","","","0","","",""
"13325","","1/10/2025 8:45:19 AM","","6","","","","","0","","","","0","","",""
"13296","","1/13/2025 9:05:30 AM","","6","","","","","0","","","","0","","",""
"12925","","1/13/2025 9:05:49 AM","","6","","","","","0","","","","0","","",""
"13351","","1/13/2025 2:13:55 PM","","15","","","","","0","","","","0","","",""
"13350","","1/13/2025 4:23:58 PM","","6","","","","","0","","","","0","","",""
"13013","1","1/15/2025 3:19:55 PM","1/15/2025 3:20:55 PM","6","","","","","0","","","","1","1","","1/15/2025 3:20:55 PM"
"12752","191","1/17/2025 10:26:59 AM","1/17/2025 1:37:59 PM","6","","","","","0","","","","191","191","","1/17/2025 1:37:59 PM"
"13057","","1/17/2025 11:24:33 AM","","15","","","","","0","","","","0","","",""
"13290","","1/17/2025 3:38:40 PM","","6","","","","","0","","","","0","","",""
"13288","51","1/20/2025 4:59:38 AM","1/20/2025 5:50:38 AM","4","","","","","0","","","","51","51","","1/20/2025 5:50:38 AM"
"13361","","1/20/2025 9:16:47 AM","","15","","","","","0","","","","0","","",""
"13227","","1/20/2025 10:19:17 AM","","15","","","","","0","","","","0","","",""
"13365","","1/22/2025 10:07:02 AM","","15","","","","","0","","","","0","","",""
"13364","0","1/23/2025 8:05:45 AM","1/23/2025 8:05:45 AM","6","","","","","0","","","","0","0","","1/23/2025 8:05:45 AM"
"12931","","1/23/2025 10:43:00 AM","","15","","","","","0","","","","0","","",""
"13157","","1/23/2025 3:05:20 PM","","15","","","11/11/2025 8:53:13 AM","0","-1","","","","0","","",""
"13196","","1/23/2025 4:00:58 PM","","15","","","","","0","","","","0","","",""
"13150","23","1/24/2025 5:58:25 AM","1/24/2025 6:21:25 AM","6","","","","","0","","","","23","23","","1/24/2025 6:21:25 AM"
"13198","","1/24/2025 8:15:18 AM","","6","","","","","0","","","","0","","",""
"13301","","1/24/2025 10:20:04 AM","","6","","","","","0","","","","0","","",""
"13336","50","1/24/2025 11:04:45 AM","1/24/2025 11:54:45 AM","6","","","","","0","","","","50","50","","1/24/2025 11:54:45 AM"
"13302","19","1/24/2025 2:17:37 PM","1/24/2025 2:36:37 PM","6","","","","","0","","","","19","19","","1/24/2025 2:36:37 PM"
"13377","","1/24/2025 2:36:46 PM","","6","","","","","0","","","","0","","",""
"13379","","1/24/2025 4:17:39 PM","","6","","","","","0","","","","0","","",""
"13305","42","1/27/2025 5:45:52 AM","1/27/2025 6:27:52 AM","6","","","","","0","","","","42","42","","1/27/2025 6:27:52 AM"
"13376","","1/27/2025 8:46:26 AM","","","","","","","0","","","","0","","",""
"13371","","1/27/2025 9:31:32 AM","","6","","","","","0","","","","0","","",""
"13382","","1/27/2025 10:29:17 AM","","6","","","","","0","","","","0","","",""
"13369","","1/27/2025 12:17:40 PM","","15","","","","","0","","","","0","","",""
"12718","","1/27/2025 3:29:31 PM","","6","","","","","0","","","","0","","",""
"13415","","1/27/2025 3:47:48 PM","","6","","","","","0","","","","0","","",""
"13370","","1/28/2025 9:38:41 AM","","15","","","","","0","","","","0","","",""
"12820","","1/28/2025 11:43:26 AM","","6","","","","","0","","","","0","","",""
"12911","135","1/28/2025 1:46:32 PM","1/28/2025 4:01:32 PM","6","","","","","0","","","","135","135","","1/28/2025 4:01:32 PM"
"13063","","1/29/2025 8:10:53 AM","","15","","","","","0","","","","0","","",""
"13419","6","1/29/2025 8:53:11 AM","1/29/2025 8:59:11 AM","6","","","","","0","","","","6","6","","1/29/2025 8:59:11 AM"
"13417","","1/29/2025 11:21:49 AM","","6","","","","","0","","","","0","","",""
"13418","","1/29/2025 2:54:41 PM","","15","","","","","0","","","","0","","",""
"13346","","1/29/2025 3:10:10 PM","","6","","","","","0","","","","0","","",""
"13423","","1/30/2025 10:24:55 AM","","6","","","","","0","","","","0","","",""
"13368","110","1/31/2025 7:16:54 AM","1/31/2025 9:06:54 AM","6","","","","","0","","","","110","110","","1/31/2025 9:06:54 AM"
